county_name,Income,Race,Gender,Metro-Atlanta,Age,cases,,,,,,
Appling,1,3,1,0,3,1883,,,,,,
Atkinson,1,3,1,0,3,771,,,,,,
Bacon,1,3,2,0,3,1265,,,,,,
Baker,1,3,1,0,3,161,,,,,,
Baldwin,1,3,1,0,3,3796,,,,,,
Banks,1,3,1,0,3,1602,,,,,,
Barrow,2,3,1,1,3,8440,,,,,,
Bartow,2,3,2,1,3,10929,,,,,,
Ben Hill,1,3,1,0,3,1482,,,,,,
Berrien,1,3,1,0,3,1046,,,,,,
Bibb,2,1,1,0,3,13138,,,,,,
Bleckley,1,3,1,0,3,793,,,,,,
Brantley,1,3,2,0,3,907,,,,,,
Brooks,2,1,2,0,3,931,,,,,,
Bryan,2,3,2,0,3,2644,,,,,,
Bulloch,1,3,2,0,3,5175,,,,,,
Burke,1,1,1,0,3,1729,,,,,,
Butts,2,3,1,1,3,2134,,,,,,
Calhoun,1,3,2,0,6,443,,,,,,
Camden,2,3,1,0,3,3151,,,,,,
Candler,1,3,1,0,3,736,,,,,,
Carroll,2,3,1,1,3,7286,,,,,,
Catoosa,2,3,2,0,3,5423,,,,,,
Charlton,1,3,1,0,4,1045,,,,,,
Chatham,2,3,2,0,3,19646,,,,,,
Chattahoochee,2,3,1,0,3,3037,,,,,,
Chattooga,1,3,2,0,3,2184,,,,,,
Cherokee,3,1,1,1,3,21750,,,,,,
Clarke,1,3,1,0,3,12493,,,,,,
Clay,1,3,1,0,4,183,,,,,,
Clayton,1,1,2,1,3,22538,,,,,,
Clinch,1,3,1,0,3,720,,,,,,
Cobb,3,3,1,1,3,58665,,,,,,
Coffee,1,1,1,0,3,4211,,,,,,
Colquitt,1,1,1,0,3,3470,,,,,,
Columbia,2,3,2,0,3,10807,,,,,,
Cook,1,1,2,0,3,1153,,,,,,
Coweta,2,1,2,1,3,8450,,,,,,
Crawford,1,1,2,0,3,519,,,,,,
Crisp,2,3,2,0,3,1405,,,,,,
Dade,2,1,1,0,3,1176,,,,,,
Dawson,1,1,1,0,3,2650,,,,,,
DeKalb,2,3,2,1,3,55643,,,,,,
Decatur,1,1,2,0,3,2112,,,,,,
Dodge,1,3,2,0,3,1074,,,,,,
Dooly,1,3,1,0,6,781,,,,,,
Dougherty,1,3,2,0,3,5409,,,,,,
Douglas,2,3,1,1,3,11525,,,,,,
Early,1,3,1,0,5,1001,,,,,,
Echols,1,3,2,0,3,356,,,,,,
Effingham,2,3,1,0,3,3692,,,,,,
Elbert,1,3,1,0,3,1515,,,,,,
Emanuel,1,3,2,0,3,1716,,,,,,
Evans,1,3,1,0,3,749,,,,,,
Fannin,2,1,1,0,6,2073,,,,,,
Fayette,3,3,2,1,3,6451,,,,,,
Floyd,2,3,1,0,3,9830,,,,,,
Forsyth,3,1,1,1,3,17292,,,,,,
Franklin,1,3,2,0,3,2309,,,,,,
Fulton,3,3,1,1,3,79064,,,,,,
Gilmer,2,1,1,0,6,2433,,,,,,
Glascock,1,1,1,0,6,143,,,,,,
Glynn,2,3,1,0,3,6488,,,,,,
Gordon,1,1,2,0,3,6394,,,,,,
Grady,1,1,1,0,3,1507,,,,,,
Greene,2,1,1,0,3,1474,,,,,,
Gwinnett,2,3,1,1,3,83982,,,,,,
Habersham,1,1,1,0,3,4604,,,,,,
Hall,2,1,2,0,3,24545,,,,,,
Hancock,1,3,2,0,6,827,,,,,,
Haralson,1,3,2,0,3,1686,,,,,,
Harris,3,1,2,0,6,2116,,,,,,
Hart,1,3,1,0,3,1687,,,,,,
Heard,1,3,1,0,5,614,,,,,,
Henry,2,3,2,1,3,18413,,,,,,
Houston,2,3,1,0,3,9798,,,,,,
Irwin,1,3,1,0,5,676,,,,,,
Jackson,2,3,1,0,3,8350,,,,,,
Jasper,2,3,2,0,5,662,,,,,,
Jeff Davis,1,3,1,0,3,1281,,,,,,
Jefferson,1,3,2,0,6,1557,,,,,,
Jenkins,1,3,1,0,6,716,,,,,,
Johnson,1,1,2,0,6,782,,,,,,
Jones,2,3,1,0,3,1561,,,,,,
Lamar,1,3,1,0,3,1298,,,,,,
Lanier,1,1,1,0,4,490,,,,,,
Laurens,1,3,2,0,3,3649,,,,,,
Lee,2,3,1,0,5,1575,,,,,,
Liberty,1,1,1,0,3,3197,,,,,,
Lincoln,1,1,1,0,3,504,,,,,,
Long,1,3,1,0,4,646,,,,,,
Lowndes,2,1,2,0,3,7605,,,,,,
Lumpkin,2,1,2,0,6,2724,,,,,,
Macon,1,1,2,0,3,598,,,,,,
Madison,1,3,2,0,3,2687,,,,,,
Marion,1,1,2,0,6,385,,,,,,
McDuffie,1,1,1,0,3,1624,,,,,,
McIntosh,2,3,1,0,6,673,,,,,,
Meriwether,1,3,2,0,6,1482,,,,,,
Miller,1,1,2,0,6,666,,,,,,
Mitchell,1,1,2,0,6,1503,,,,,,
Monroe,2,3,1,0,6,1841,,,,,,
Montgomery,1,1,2,0,3,707,,,,,,
Morgan,2,1,1,0,3,1175,,,,,,
Murray,1,1,1,0,3,4058,,,,,,
Muscogee,2,3,2,0,3,13763,,,,,,
Newton,2,1,1,1,3,7224,,,,,,
Oconee,3,1,1,0,3,23312,,,,,,
Oglethorpe,1,3,2,0,3,2978,,,,,,
Paulding,2,3,1,1,3,1167,,,,,,
Peach,1,3,1,0,3,10439,,,,,,
Pickens,2,3,2,1,5,1806,,,,,,
Pierce,1,3,1,0,3,2459,,,,,,
Pike,2,3,1,0,5,1217,,,,,,
Polk,1,3,2,0,3,1029,,,,,,
Pulaski,1,3,1,0,6,3891,,,,,,
Putnam,2,3,1,0,6,603,,,,,,
Quitman,1,3,1,0,7,1742,,,,,,
Rabun,2,3,1,0,7,81,,,,,,
Randolph,1,3,2,0,6,1476,,,,,,
Richmond,2,3,1,0,3,463,,,,,,
Rockdale,2,3,1,1,3,19308,,,,,,
Schley,1,3,1,0,3,5805,,,,,,
Screven,1,3,1,0,3,208,,,,,,
Seminole,1,3,2,0,7,805,,,,,,
Spalding,1,1,2,1,3,735,,,,,,
Stephens,1,3,2,0,3,3894,,,,,,
Stewart,1,1,2,0,4,2937,,,,,,
Sumter,1,1,1,0,3,778,,,,,,
Talbot,1,3,1,0,6,1786,,,,,,
Taliaferro,1,3,2,0,7,380,,,,,,
Tattnall,1,3,1,0,3,100,,,,,,
Taylor,1,3,1,0,5,1827,,,,,,
Telfair,1,3,1,0,3,503,,,,,,
Terrell,1,3,2,0,5,710,,,,,,
Thomas,2,3,1,0,3,556,,,,,,
Tift,1,3,2,0,3,3498,,,,,,
Toombs,1,3,1,0,3,3401,,,,,,
Towns,2,3,2,0,7,2872,,,,,,
Treutlen,1,3,1,0,3,1057,,,,,,
Troup,1,3,1,0,3,622,,,,,,
Turner,1,3,1,0,5,5812,,,,,,
Twiggs,1,1,2,0,7,595,,,,,,
Union,2,3,1,0,7,505,,,,,,
Upson,1,1,1,0,4,2423,,,,,,
Walker,1,1,1,0,3,1774,,,,,,
Walton,2,3,1,1,3,6263,,,,,,
Ware,1,3,2,0,3,7849,,,,,,
Warren,1,3,2,0,3,2954,,,,,,
Washington,1,3,2,0,3,367,,,,,,
Wayne,1,3,2,0,5,1592,,,,,,
Webster,1,3,2,0,7,2666,,,,,,
Wheeler,1,3,1,0,6,102,,,,,,
White,2,3,1,0,6,456,,,,,,
Whitfield,1,3,2,0,3,2935,,,,,,
Wilcox,1,3,2,0,7,14615,,,,,,
Wilkes,1,3,2,0,3,473,,,,,,
Wilkinson,1,3,1,0,6,667,,,,,,
Worth,1,3,2,0,7,725,,,,,,
